data,lin_reg,randf1,randf2,randf3,lin_svr1,lin_svr2,grad_bst1,grad_bst2,svr_poly1,svr_poly2,svr_poly3,svr_poly4,svr_poly5,prophet1,prophet2,lstm1,lstm2,lstm3
lag_10_DELTA,0.20408625823275164,0.2500487788712496,0.2476474317605652,0.23701202005374475,0.12167244206684764,0.22753227124588682,0.2872176202169195,0.27314313911680904,0.13995788044849267,0.09687667546203957,0.14824202663697703,0.21631446728016765,0.14823665060148553,0.16484067117892764,0.17547758773083164,0.5850307410913719,0.19937633383878237,0.1700388923382795
lag_9_DELTA,0.1996228982860258,0.14881367182132318,0.13092377389867738,0.17536462704889536,0.1528835118607738,0.16493832947713477,0.06705175429140815,0.198753886816672,0.10451913573474934,0.09835444348252384,0.17273693466743828,0.2588884372944275,0.162973982846939,0.16484067117892764,0.12338099267255007,0.5145538203378123,0.10716540702731372,0.12000104178318155
lag_8_DELTA,0.18567002083108686,0.14443313082586015,0.12716536359073938,0.12716536359073938,0.1691357083312035,0.17120589937643513,0.07859073994897323,0.24669893777527724,0.1480330908207349,0.1618715808058941,0.08723642542459183,0.09585476346591695,0.08347243889105987,0.16484067117892764,0.10376526266360396,0.4477275804080554,0.11797007819716189,0.11545233362709513
lag_7_DELTA,0.19708526159200782,0.14443313082586015,0.12857777361344136,0.14169174805225868,0.18238093726598809,0.16834440660225736,0.08453468756558967,0.06899760562671547,0.341579992938566,0.25223134664822,0.1253430588378085,0.08800673319187638,0.14368316629300593,0.16484067117892764,0.09837448716207757,0.08099259088951068,0.157414620955292,0.14322077369748534
lag_6_DELTA,0.18479450589436158,0.1437539106708945,0.1359970947084573,0.1260463337396974,0.18662537163739976,0.17928905664018194,0.0892135516029213,0.06992570621182814,0.2133287785436662,0.18648496317301752,0.11288053341191494,0.16052821170672552,0.11810254452209551,0.16484067117892764,0.09167881780265241,0.3334435473291288,0.1367924377337816,0.12978955778509155
lag_5_DELTA,0.18779197698275954,0.13755563377913643,0.1429268842567493,0.1517304936628594,0.1891961334465323,0.1467817162749321,0.08828955566351057,0.06105316026083245,0.21337036732413753,0.16135098029888886,0.13970641989168878,0.18714413369841412,0.13937755622024228,0.16484067117892764,0.09407328739925411,0.37303326598273007,0.22687618228233689,0.12001276925721344
lag_4_DELTA,0.13646239720668965,0.08884582973441955,0.08275452511393852,0.08790450490627726,0.11757707637583938,0.11386395574532907,0.09370815171067261,0.09098189911856248,0.1793449473200784,0.12998213841608675,0.10046585605117139,0.15171756280914717,0.12460119810753129,0.16484067117892764,0.07294497647272798,0.40946581588178865,0.13858082751686995,0.09396784145727098
lag_3_DELTA,0.1660793954817737,0.09324353053407163,0.07795545227708382,0.08553855099630375,0.09470280508065468,0.07760250821093521,0.10804201144999791,0.09979398722972692,0.461767122847103,0.2460625818366205,0.3446014007188381,0.12055231082472946,0.35406359786392,0.16484067117892764,0.10087826437737513,0.21156946438753985,0.08689090190511001,0.07654996087269364
lag_2_DELTA,0.2726962771742311,0.0978595470426444,0.07784918312386736,0.0823869855476598,0.07339161017689132,0.07092077158594973,0.11439236935954902,0.09438982380886039,0.09902816134554761,0.15591733355208076,0.07705222771047002,0.17760681097562384,0.07984543988010286,0.16484067117892764,0.10995486932378784,0.09399452096478446,0.0839878502194827,0.0735912495454169
lag_10_KCE,0.5646523987581404,0.5013992023331927,0.5365018008901518,0.5587981426153718,0.5993353751136269,0.6003873010442923,0.5259013131081448,0.5591578283991007,0.5611604213357071,0.5838348992567464,0.5713461488482079,0.5122542332834313,0.5712951520415559,0.09197230795823778,0.08855283473182785,0.9555682603821838,0.5699028760522932,0.5813836303833677
lag_9_KCE,1.1042269160731808,0.2134103795124025,0.17055601809182003,0.17230431121994136,0.882653431835846,0.9352888275853187,0.17692754871501196,0.19461356866459156,28.341925673492877,16.406576688467595,1.5410644761766077,3.3370599897405477,1.5300007107583034,0.09197230795823778,0.5497749502793986,0.7871200667351441,5.579655329936182,1.6323330055486203
lag_8_KCE,1.29103643395374,0.2171090832113839,0.16605406396768194,0.1651201163017095,0.17210508576928307,0.13060805820058627,0.14379285617895632,0.1485402232579431,13.573939273316078,11.94655610802779,4.05016902923772,0.4028562817219494,4.362549025913699,0.09197230795823778,0.5858814636167403,0.5711878770513595,0.885166568987505,0.6261121770458565
lag_6_KCE,0.9248153688754129,0.21783363952234375,0.1639474524923724,0.17104509635041718,0.1250194722097534,0.13068062536905256,0.12559655392217606,0.1415597975789235,10.436573060378514,11.41794642928832,3.0538111015551395,0.5565913239069733,4.295755300451834,0.09197230795823778,0.6048573643985645,0.41940299845313406,1.382061973394099,0.6416111437094442
